,剧名,时间进度,进度,类型,封面图片
40,快乐大本营 2020 王俊凯画蜡笔小新“翻车现场”,01:07,10%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/14\/zongyi\/334727\/8353767\/20200614091402267.jpg
41,向往的生活第四季第6期：谭松韵吐槽彭昱畅结婚太难？许魏洲任嘉伦合体热舞,112:35,5%,综艺,https:\/\/2img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/28\/zongyi\/337284\/20200428105827814-new.jpg
42,妻子的浪漫旅行 第四季 02期看点：蔡少芬当导游遭质疑,03:44,92%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/6\/zongyi\/338481\/8288653\/20200606162019271.jpg
43,妻子的浪漫旅行 第四季 02期看点：新晋小帮手上线！,00:45,98%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/9\/zongyi\/338481\/8306926\/20200609100604872.jpg
44,婆婆和妈妈 秦昊担心米粒受欺负哭出声,01:26,100%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/11\/zongyi\/338575\/8332007\/20200611174259604.jpg
45,回到过去拥抱你 彭昱畅携手侯明昊经历奇幻青春,90:55,3%,电影,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/6\/10\/dianying\/330072\/20190610110523908-new.jpg
46,韫色过浓 周宝贝与北宝贝的跨时空恋爱,30:11,3%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/6\/4\/dianshiju\/338408\/8274563\/20200604180606112.jpg
47,长安少年行 第24集 依依自揭女儿身 韩大人自尽,45:39,84%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/20\/dianshiju\/337579\/20200420200535852-new.jpg
48,亲爱的王子大人 第1集 孙小桃面试遭刁难,29:05,70%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2017\/dianshiju\/317117\/20170828111115911-new.jpg
49,爱的复仇 第1集 鹏坤受伤住院,27:25,3%,电视剧,https:\/\/2img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/6\/2\/dianshiju\/339205\/20200602145423749-new.jpg
50,小鬼-王琳凯&袁娅维新潮领军 《说唱听我的》让rap流动更流行,01:14,100%,,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/5\/21\/zongyi\/336138\/8161179\/20200521105322280.jpg
51,妻子的浪漫旅行 第四季 张歆艺袁弘期待沙漠冒险,00:27,15%,综艺,https:\/\/1img.hitv.com\/preview\/aicrop\/2020\/05\/29\/4681785\/crop_500x284_2083_1.jpg
52,《妻子的浪漫旅行》第4季即将出发，谢娜搭档四位新朋友开启新旅程,01:10,4%,,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/5\/28\/zongyi\/338481\/8213710\/20200528092626981.jpg
53,妻子的浪漫旅行番外篇：谢娜应采儿颖儿程莉莎吐露绝密心声,65:55,1%,综艺,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2018\/zongyi\/325599\/20180817104937574-new.jpg
54,山寨小萌主 第1集 常乐顶替玉瑶嫁入太子府,46:14,5%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/3\/13\/dianshiju\/336825\/20200313091506866-new.jpg
55,我不是购物狂 第44集 高杨严励摆脱困境开启全新生活,40:24,89%,电视剧,https:\/\/1img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/12\/23\/dianshiju\/335545\/20191223151800042-new.jpg
56,秋蝉 第6集 叶冲小庄故交相遇,44:00,3%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/29\/dianshiju\/316458\/20200429175530520-new.jpg
57,韫色过浓 苏矜北怀孕？,01:55,53%,电视剧,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/05\/23\/20200523172530111.jpg
58,韫色过浓 韫北夫妇的民政局准备好了吗,01:38,62%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/05\/23\/20200523172359496.jpg
59,婆婆和妈妈 林志颖妈妈不满陈若仪穿衣太暴露,01:09,100%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/5\/23\/zongyi\/338575\/8182184\/20200523205126945.jpg
60,我不是购物狂 众人帮易能购恢复声誉,02:06,27%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/2\/6\/dianshiju\/335545\/7511985\/20200206214247956.jpg
61,摩玉玄奇 第2集 若琪与佟佳大人初见,02:06,1%,电视剧,https:\/\/1img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/5\/15\/dianshiju\/338856\/20200515155925251-new.jpg
62,陪你到世界之巅 第2集 邱樱偷拍季向空顾放的谈话,35:32,5%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/5\/15\/dianshiju\/329692\/20190515151018391-new.jpg
63,相爱穿梭千年 第2集 公明懵懂进城惊险邂逅湘湘,45:27,1%,电视剧,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2016\/dianshiju\/104611\/20161004100226460-new.jpg
64,我不是购物狂 严嫣然入狱 但后悔已经晚了,01:06,12%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/2\/6\/dianshiju\/335545\/7511979\/20200206213935478.jpg
65,我不是购物狂 养眼cp重修旧好,01:38,100%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/2\/6\/dianshiju\/335545\/7511980\/20200206214102790.jpg
66,By2《BECAUSE OF YOU》电视剧《亲爱的，公主病》主题曲,03:40,16%,,https:\/\/2img.hitv.com\/preview\/sp_images\/2016\/yinle\/130271\/3355098\/20160811151128366.jpg
67,《秋蝉》任嘉伦忍不住表白，李曼却不理睬，我们冲哥这下尴尬了！,01:13,42%,,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/5\/8\/shenghuo\/334942\/8058746\/20200508150113729.jpg
68,极速救援 “愉悦”CP甜虐日常,02:00,18%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2019\/12\/4\/dianshiju\/334084\/7178835\/20191204160549006.jpg
69,蝴蝶公墓 张俪锦荣人蝶之恋改写悬奇,00:30,20%,电影,https:\/\/3img.hitv.com\/preview\/sp_images\/2017\/dianying\/314707\/3910440\/20170424104647649.jpg
70,摩玉玄奇 堪称史上最强后宫升级攻略,00:25,44%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/5\/15\/dianshiju\/338856\/8117564\/20200515154309719.jpg
71,韫色过浓 周时韫第一次见女方家长是什么感觉,00:44,80%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/5\/15\/dianshiju\/338408\/8118674\/20200515175559183.jpg
